File,Sent_ID,Sentence,Length,Word Order,Category,Dependency Length
C:\Users\CBSL-1\Desktop\Pallab\Dialogue Corpus\PHASE_GOLD_FILTERED\hi_1385_gold.conllu,366,वो इंश्योरेंस कवर कर लेगा,5,OSV,Transitive,1.75
C:\Users\CBSL-1\Desktop\Pallab\Dialogue Corpus\PHASE_GOLD_FILTERED\hi_1385_gold.conllu,509,1 बर्क्ली जा रहा है,5,SOV,Transitive,1.5
C:\Users\CBSL-1\Desktop\Pallab\Dialogue Corpus\PHASE_GOLD_FILTERED\hi_1580_gold.conllu,80,जो एमबीए बन गया ना,5,SOV,Transitive,1.5
C:\Users\CBSL-1\Desktop\Pallab\Dialogue Corpus\PHASE_GOLD_FILTERED\hi_1580_gold.conllu,1039,बट मैं उस को समझाऊँगा,5,SOV,Transitive,2.5
C:\Users\CBSL-1\Desktop\Pallab\Dialogue Corpus\PHASE_GOLD_FILTERED\hi_2142_gold.conllu,220,काबरा इंडिया जा रहा है,5,SOV,Transitive,1.5
C:\Users\CBSL-1\Desktop\Pallab\Dialogue Corpus\PHASE_GOLD_FILTERED\hi_2142_gold.conllu,398,मेरे को इतना पैसा चाहिए,5,SOV,Transitive,1.75
C:\Users\CBSL-1\Desktop\Pallab\Dialogue Corpus\PHASE_GOLD_FILTERED\hi_2142_gold.conllu,749,मैं ने कहा ठीक है,5,Others,Transitive,1.25
C:\Users\CBSL-1\Desktop\Pallab\Dialogue Corpus\PHASE_GOLD_FILTERED\hi_2142_gold.conllu,842,क्या कर रही है वो,5,Others,Transitive,1.75
C:\Users\CBSL-1\Desktop\Pallab\Dialogue Corpus\PHASE_GOLD_FILTERED\hi_2142_gold.conllu,938,रेड्डी ने मेरे को बोला,5,SOV,Transitive,2.0
C:\Users\CBSL-1\Desktop\Pallab\Dialogue Corpus\PHASE_GOLD_FILTERED\hi_2142_gold.conllu,939,मैं ने कोहले को पूछा,5,SOV,Transitive,2.0
C:\Users\CBSL-1\Desktop\Pallab\Dialogue Corpus\PHASE_GOLD_FILTERED\hi_2142_gold.conllu,940,कोहले ने खंबा को पूछा,5,SOV,Transitive,2.0
C:\Users\CBSL-1\Desktop\Pallab\Dialogue Corpus\PHASE_GOLD_FILTERED\hi_2148_gold.conllu,219,तू क्या कर रहा है,5,SOV,Transitive,1.5
